date,normalised_level
2001-12-01,0.599316064045519
2002-03-01,
2002-06-01,
2002-09-01,
2002-12-01,0.2955154217530288
2003-03-01,
2003-06-01,
2003-09-01,
2003-12-01,0.05210561032351623
2004-03-01,
2004-06-01,
2004-09-01,
2004-12-01,-0.2065879513296872
2005-03-01,
2005-06-01,
2005-09-01,
2005-12-01,-0.1940036816667659
2006-03-01,
2006-06-01,
2006-09-01,
2006-12-01,-0.4338732719604051
2007-03-01,
2007-06-01,
2007-09-01,
2007-12-01,-0.3830828861508633
2008-03-01,
2008-06-01,
2008-09-01,
2008-12-01,-0.25458461311115615
2009-03-01,
2009-06-01,
2009-09-01,
2009-12-01,-0.11516763160665516
2010-03-01,
2010-06-01,
2010-09-01,
2010-12-01,0.06847555624236942
2011-03-01,
2011-06-01,
2011-09-01,
2011-12-01,0.33124320380345496
2012-03-01,
2012-06-01,
2012-09-01,
2012-12-01,0.031033219338997498
2013-03-01,
2013-06-01,
2013-09-01,
2013-12-01,-0.5439950607055142
2014-03-01,
2014-06-01,
2014-09-01,
2014-12-01,-0.030027316071136408
2015-03-01,
2015-06-01,
2015-09-01,
2015-12-01,-0.0545364525174753
2016-03-01,
2016-06-01,
2016-09-01,
2016-12-01,0.1561231508032409
2017-03-01,
2017-06-01,
2017-09-01,
2017-12-01,-0.06420389888688427
2018-03-01,
2018-06-01,
2018-09-01,
2018-12-01,0.29894923472230983
2019-03-01,
2019-06-01,
2019-09-01,
2019-12-01,1.114242506328726
2020-03-01,
2020-06-01,
2020-09-01,
2020-12-01,-0.22700927860443332
