date,normalised_level
2001-06-01,2.976479844308825
2001-09-01,
2001-12-01,
2002-03-01,
2002-06-01,2.708588340786626
2002-09-01,
2002-12-01,
2003-03-01,
2003-06-01,2.63218046380634
2003-09-01,
2003-12-01,
2004-03-01,
2004-06-01,2.1892393252222044
2004-09-01,
2004-12-01,
2005-03-01,
2005-06-01,1.900430366681245
2005-09-01,
2005-12-01,
2006-03-01,
2006-06-01,1.4492891526883096
2006-09-01,
2006-12-01,
2007-03-01,
2007-06-01,1.123573679122156
2007-09-01,
2007-12-01,
2008-03-01,
2008-06-01,0.8272677464926954
2008-09-01,
2008-12-01,
2009-03-01,
2009-06-01,0.39516185157062256
2009-09-01,
2009-12-01,
2010-03-01,
2010-06-01,0.22372254487628224
2010-09-01,
2010-12-01,
2011-03-01,
2011-06-01,-0.41468592161422424
2011-09-01,
2011-12-01,
2012-03-01,
2012-06-01,-0.7706416555947272
2012-09-01,
2012-12-01,
2013-03-01,
2013-06-01,-1.198187320456181
2013-09-01,
2013-12-01,
2014-03-01,
2014-06-01,-1.4555439112338218
2014-09-01,
2014-12-01,
2015-03-01,
2015-06-01,-1.5151313413475715
2015-09-01,
2015-12-01,
2016-03-01,
2016-06-01,-1.655400180867183
2016-09-01,
2016-12-01,
2017-03-01,
2017-06-01,-1.8588875523879904
2017-09-01,
2017-12-01,
2018-03-01,
2018-06-01,-2.0391347126950716
2018-09-01,
2018-12-01,
2019-03-01,
2019-06-01,-2.210395652200116
2019-09-01,
2019-12-01,
2020-03-01,
2020-06-01,-2.652341697647669
