date,level,site
2001-06-21,-66.69,#1004901
2002-06-21,-66.18,#1004901
2003-06-21,-66.0385,#1004901
2004-06-21,-65.97833333333332,#1004901
2005-06-21,-65.93368421052632,#1004901
2006-06-21,-65.91000000000001,#1004901
2007-06-21,-65.96333333333332,#1004901
2008-06-21,-65.98388888888888,#1004901
2009-06-21,-66.29166666666667,#1004901
2010-06-21,-66.49666666666667,#1004901
2011-06-21,-67.15722222222222,#1004901
2012-06-21,-67.88555555555556,#1004901
2013-06-21,-68.4211111111111,#1004901
2014-06-21,-69.00111111111111,#1004901
2015-06-21,-69.29277777777777,#1004901
2016-06-21,-69.25666666666666,#1004901
2017-06-21,-69.19944444444444,#1004901
2018-06-21,-69.56333333333333,#1004901
2019-06-21,-69.68823529411765,#1004901
2020-06-21,-69.81444444444445,#1004901
2001-06-21,,#1051909
2002-06-21,-41.24767441860465,#1051909
2003-06-21,-41.834,#1051909
2004-06-21,-42.04222222222222,#1051909
2005-06-21,-42.05684210526316,#1051909
2006-06-21,-42.32722222222222,#1051909
2007-06-21,-43.78277777777778,#1051909
2008-06-21,-43.30277777777778,#1051909
2009-06-21,-43.66444444444445,#1051909
2010-06-21,-44.220000000000006,#1051909
2011-06-21,-44.50555555555556,#1051909
2012-06-21,-44.68722222222223,#1051909
2013-06-21,-45.21833333333333,#1051909
2014-06-21,-45.062777777777775,#1051909
2015-06-21,-44.8,#1051909
2016-06-21,-45.117777777777775,#1051909
2017-06-21,-45.375,#1051909
2018-06-21,-45.415,#1051909
2019-06-21,-45.72176470588235,#1051909
2020-06-21,,#1051909
2001-06-21,-35.34444444444445,#1053602
2002-06-21,-36.06388888888889,#1053602
2003-06-21,-36.406666666666666,#1053602
2004-06-21,-37.532222222222224,#1053602
2005-06-21,-38.58555555555555,#1053602
2006-06-21,-39.46833333333333,#1053602
2007-06-21,-40.38777777777778,#1053602
2008-06-21,-41.30444444444444,#1053602
2009-06-21,-41.67277777777778,#1053602
2010-06-21,-41.965555555555554,#1053602
2011-06-21,-42.26263157894737,#1053602
2012-06-21,-42.9521052631579,#1053602
2013-06-21,-43.64368421052632,#1053602
2014-06-21,-43.98444444444445,#1053602
2015-06-21,-44.31888888888889,#1053602
2016-06-21,-44.66857142857143,#1053602
2017-06-21,-44.92578947368421,#1053602
2018-06-21,-45.298947368421054,#1053602
2019-06-21,-45.75357142857143,#1053602
2020-06-21,-46.01333333333333,#1053602
2001-06-21,,#1142315
2002-06-21,-55.78111111111111,#1142315
2003-06-21,-55.944500000000005,#1142315
2004-06-21,-56.10833333333333,#1142315
2005-06-21,-56.283157894736846,#1142315
2006-06-21,-56.462777777777774,#1142315
2007-06-21,-56.62722222222222,#1142315
2008-06-21,-56.623333333333335,#1142315
2009-06-21,-56.84444444444445,#1142315
2010-06-21,-56.97555555555555,#1142315
2011-06-21,-57.075,#1142315
2012-06-21,-57.22105263157895,#1142315
2013-06-21,-57.36368421052632,#1142315
2014-06-21,-57.475,#1142315
2015-06-21,-57.59277777777778,#1142315
2016-06-21,-57.69388888888889,#1142315
2017-06-21,-57.79,#1142315
2018-06-21,-57.81,#1142315
2019-06-21,-57.904117647058825,#1142315
2020-06-21,,#1142315
2001-06-21,-56.28,#1151403
2002-06-21,-56.69777777777777,#1151403
2003-06-21,-57.39833333333334,#1151403
2004-06-21,-58.06611111111111,#1151403
2005-06-21,-58.50055555555556,#1151403
2006-06-21,-59.015,#1151403
2007-06-21,-59.656666666666666,#1151403
2008-06-21,-60.1764705882353,#1151403
2009-06-21,-60.82888888888889,#1151403
2010-06-21,-61.40785714285715,#1151403
2011-06-21,-62.65058823529412,#1151403
2012-06-21,-62.818,#1151403
2013-06-21,-64.09444444444445,#1151403
2014-06-21,-64.36555555555555,#1151403
2015-06-21,-64.17833333333334,#1151403
2016-06-21,-64.07111111111111,#1151403
2017-06-21,-64.27555555555556,#1151403
2018-06-21,-64.434,#1151403
2019-06-21,-64.84176470588235,#1151403
2020-06-21,-64.97611111111111,#1151403
2001-06-21,-64.642,#2330103
2002-06-21,-64.71777777777778,#2330103
2003-06-21,-64.48833333333333,#2330103
2004-06-21,-64.61166666666666,#2330103
2005-06-21,-64.76833333333333,#2330103
2006-06-21,-65.03944444444444,#2330103
2007-06-21,-64.90333333333334,#2330103
2008-06-21,-64.76833333333333,#2330103
2009-06-21,-66.21,#2330103
2010-06-21,-65.61777777777779,#2330103
2011-06-21,-66.6935294117647,#2330103
2012-06-21,-66.42611111111111,#2330103
2013-06-21,-66.70666666666666,#2330103
2014-06-21,-66.46684210526317,#2330103
2015-06-21,-66.22277777777778,#2330103
2016-06-21,-66.11555555555555,#2330103
2017-06-21,-66.31722222222223,#2330103
2018-06-21,-66.03615384615385,#2330103
2019-06-21,-65.785,#2330103
2020-06-21,-66.10722222222222,#2330103
2001-06-21,-40.692,#2739903
2002-06-21,-40.51,#2739903
2003-06-21,-40.3721052631579,#2739903
2004-06-21,-40.27166666666667,#2739903
2005-06-21,-40.15277777777778,#2739903
2006-06-21,-40.78769230769231,#2739903
2007-06-21,-40.76,#2739903
2008-06-21,-40.47222222222222,#2739903
2009-06-21,-40.89,#2739903
2010-06-21,-41.340555555555554,#2739903
2011-06-21,-42.40444444444445,#2739903
2012-06-21,-42.96,#2739903
2013-06-21,-43.159444444444446,#2739903
2014-06-21,-43.39833333333333,#2739903
2015-06-21,-43.22222222222222,#2739903
2016-06-21,-43.49705882352941,#2739903
2017-06-21,-43.68111111111111,#2739903
2018-06-21,-43.714444444444446,#2739903
2019-06-21,-43.65235294117648,#2739903
2020-06-21,-43.89111111111111,#2739903
2001-06-21,-20.32,#2825604
2002-06-21,-19.36777777777778,#2825604
2003-06-21,-20.092,#2825604
2004-06-21,-20.792857142857144,#2825604
2005-06-21,-19.875,#2825604
2006-06-21,-19.98888888888889,#2825604
2007-06-21,-18.74111111111112,#2825604
2008-06-21,-19.457222222222224,#2825604
2009-06-21,-19.38055555555556,#2825604
2010-06-21,-18.480555555555554,#2825604
2011-06-21,-20.349444444444444,#2825604
2012-06-21,-19.96777777777778,#2825604
2013-06-21,-19.78333333333333,#2825604
2014-06-21,-19.662777777777777,#2825604
2015-06-21,-18.765,#2825604
2016-06-21,-18.351666666666667,#2825604
2017-06-21,-17.514444444444443,#2825604
2018-06-21,-17.42111111111111,#2825604
2019-06-21,-16.91764705882353,#2825604
2020-06-21,-17.028888888888886,#2825604
2001-06-21,-35.355,#341010102240801
2002-06-21,-36.065,#341010102240801
2003-06-21,-36.415,#341010102240801
2004-06-21,-37.535,#341010102240801
2005-06-21,-38.60166666666667,#341010102240801
2006-06-21,-39.48,#341010102240801
2007-06-21,-40.391666666666666,#341010102240801
2008-06-21,-41.31,#341010102240801
2009-06-21,-41.67666666666667,#341010102240801
2010-06-21,-41.99166666666667,#341010102240801
2011-06-21,-42.277142857142856,#341010102240801
