date,normalised_level
2001-12-01,0.882752227215597
2002-03-01,
2002-06-01,
2002-09-01,
2002-12-01,1.4934985285236324
2003-03-01,
2003-06-01,
2003-09-01,
2003-12-01,0.8079405539694976
2004-03-01,
2004-06-01,
2004-09-01,
2004-12-01,1.2070810357320754
2005-03-01,
2005-06-01,
2005-09-01,
2005-12-01,0.9612234978671541
2006-03-01,
2006-06-01,
2006-09-01,
2006-12-01,0.610903807946708
2007-03-01,
2007-06-01,
2007-09-01,
2007-12-01,0.7124140715175646
2008-03-01,
2008-06-01,
2008-09-01,
2008-12-01,0.5783075944873202
2009-03-01,
2009-06-01,
2009-09-01,
2009-12-01,0.38472639569944883
2010-03-01,
2010-06-01,
2010-09-01,
2010-12-01,0.24809978133876165
2011-03-01,
2011-06-01,
2011-09-01,
2011-12-01,-0.05339207605328812
2012-03-01,
2012-06-01,
2012-09-01,
2012-12-01,-0.23770112249624176
2013-03-01,
2013-06-01,
2013-09-01,
2013-12-01,-0.44574931382370314
2014-03-01,
2014-06-01,
2014-09-01,
2014-12-01,-0.6087258258653534
2015-03-01,
2015-06-01,
2015-09-01,
2015-12-01,-0.32238336484170915
2016-03-01,
2016-06-01,
2016-09-01,
2016-12-01,-0.3372112559063509
2017-03-01,
2017-06-01,
2017-09-01,
2017-12-01,-0.6266950842016858
2018-03-01,
2018-06-01,
2018-09-01,
2018-12-01,-0.8895335960086276
2019-03-01,
2019-06-01,
2019-09-01,
2019-12-01,-1.0405482114134499
2020-03-01,
2020-06-01,
2020-09-01,
2020-12-01,-1.291927748156253
