date,level,site
2001-12-21,,#1001302
2002-12-21,,#1001302
2003-12-21,,#1001302
2004-12-21,,#1001302
2005-12-21,,#1001302
2006-12-21,,#1001302
2007-12-21,,#1001302
2008-12-21,,#1001302
2009-12-21,,#1001302
2010-12-21,,#1001302
2011-12-21,-84.6,#1001302
2012-12-21,,#1001302
2013-12-21,,#1001302
2014-12-21,,#1001302
2015-12-21,-78.57,#1001302
2016-12-21,-78.42,#1001302
2017-12-21,-78.52,#1001302
2018-12-21,-78.99,#1001302
2019-12-21,-78.62,#1001302
2020-12-21,-78.52,#1001302
2001-12-21,-46.85,#1001401
2002-12-21,-47.07,#1001401
2003-12-21,-46.34,#1001401
2004-12-21,-46.33,#1001401
2005-12-21,-46.34,#1001401
2006-12-21,-46.39,#1001401
2007-12-21,,#1001401
2008-12-21,,#1001401
2009-12-21,-46.44,#1001401
2010-12-21,,#1001401
2011-12-21,,#1001401
2012-12-21,-46.41,#1001401
2013-12-21,-46.74,#1001401
2014-12-21,-46.68,#1001401
2015-12-21,-46.45,#1001401
2016-12-21,-46.57,#1001401
2017-12-21,-46.42,#1001401
2018-12-21,-47.65,#1001401
2019-12-21,-46.79,#1001401
2020-12-21,-47.77,#1001401
2001-12-21,,#1002301
2002-12-21,,#1002301
2003-12-21,,#1002301
2004-12-21,,#1002301
2005-12-21,,#1002301
2006-12-21,,#1002301
2007-12-21,,#1002301
2008-12-21,-93.27,#1002301
2009-12-21,-92.26,#1002301
2010-12-21,-91.83,#1002301
2011-12-21,-91.93,#1002301
2012-12-21,-91.87,#1002301
2013-12-21,-92.02,#1002301
2014-12-21,-91.75,#1002301
2015-12-21,-91.99,#1002301
2016-12-21,-92.1,#1002301
2017-12-21,-92.29,#1002301
2018-12-21,-92.37,#1002301
2019-12-21,-92.43,#1002301
2020-12-21,-92.4,#1002301
2001-12-21,-75.27,#1002802
2002-12-21,-76.93,#1002802
2003-12-21,-75.12,#1002802
2004-12-21,-75.16,#1002802
2005-12-21,-75.38,#1002802
2006-12-21,,#1002802
2007-12-21,,#1002802
2008-12-21,,#1002802
2009-12-21,,#1002802
2010-12-21,,#1002802
2011-12-21,-77.0,#1002802
2012-12-21,,#1002802
2013-12-21,-75.38,#1002802
2014-12-21,-76.96,#1002802
2015-12-21,-75.04,#1002802
2016-12-21,-74.67,#1002802
