date,level,site
2000-03-21,-5.692967032967034,#400155101521302
2000-06-21,-6.479230769230769,#400155101521302
2000-09-21,-7.744239130434783,#400155101521302
2000-12-21,-6.331666666666667,#400155101521302
2001-03-21,-5.904888888888889,#400155101521302
2001-06-21,-6.116263736263737,#400155101521302
2001-09-21,-7.861204819277108,#400155101521302
2001-12-21,-6.488913043478261,#400155101521302
2002-03-21,-6.022222222222222,#400155101521302
2002-06-21,-7.239670329670329,#400155101521302
2002-09-21,-8.491724137931033,#400155101521302
2002-12-21,-6.941839080459769,#400155101521302
2003-03-21,-6.3787777777777785,#400155101521302
2003-06-21,-6.232527472527472,#400155101521302
2003-09-21,-8.202065217391304,#400155101521302
2003-12-21,-6.940434782608696,#400155101521302
2004-03-21,-6.343846153846154,#400155101521302
2004-06-21,-6.63967032967033,#400155101521302
2004-09-21,-7.821847826086957,#400155101521302
2004-12-21,-6.531847826086956,#400155101521302
2005-03-21,-6.105777777777778,#400155101521302
2005-06-21,-6.181648351648351,#400155101521302
2005-09-21,-7.046521739130434,#400155101521302
2005-12-21,-6.277282608695652,#400155101521302
2006-03-21,-5.961555555555555,#400155101521302
2006-06-21,-6.98021978021978,#400155101521302
2006-09-21,-7.343804347826087,#400155101521302
2006-12-21,-6.2405,#400155101521302
2007-03-21,-5.8873255813953485,#400155101521302
2007-06-21,-5.75967032967033,#400155101521302
2007-09-21,-6.447717391304349,#400155101521302
2007-12-21,-5.847173913043479,#400155101521302
2008-03-21,-5.6098901098901095,#400155101521302
2008-06-21,-5.5376666666666665,#400155101521302
2008-09-21,-6.586521739130435,#400155101521302
2008-12-21,-5.840326086956521,#400155101521302
2009-03-21,-5.582666666666666,#400155101521302
2009-06-21,-5.587252747252747,#400155101521302
2009-09-21,-6.702173913043478,#400155101521302
2009-12-21,-5.723804347826087,#400155101521302
2010-03-21,-5.4557317073170735,#400155101521302
2010-06-21,-5.4048351648351645,#400155101521302
2010-09-21,-6.380652173913044,#400155101521302
2010-12-21,-5.889130434782608,#400155101521302
2011-03-21,-5.576555555555555,#400155101521302
2011-06-21,-5.802417582417582,#400155101521302
2011-09-21,-6.269130434782609,#400155101521302
2011-12-21,-5.708260869565217,#400155101521302
2012-03-21,-5.472637362637363,#400155101521302
2012-06-21,-6.224065934065934,#400155101521302
2012-09-21,-7.3625,#400155101521302
2012-12-21,-6.354782608695652,#400155101521302
2013-03-21,-5.906777777777778,#400155101521302
2013-06-21,-6.128681318681319,#400155101521302
2013-09-21,-7.0466304347826085,#400155101521302
2013-12-21,-6.219673913043478,#400155101521302
2014-03-21,-5.8788888888888895,#400155101521302
2014-06-21,-6.228901098901099,#400155101521302
2014-09-21,-6.990217391304348,#400155101521302
2014-12-21,-6.386847826086957,#400155101521302
2015-03-21,-5.887666666666666,#400155101521302
2015-06-21,-5.700219780219781,#400155101521302
2015-09-21,-7.594782608695652,#400155101521302
2015-12-21,-6.395652173913043,#400155101521302
2016-03-21,-5.910769230769231,#400155101521302
2016-06-21,-5.74945054945055,#400155101521302
2016-09-21,-7.239230769230769,#400155101521302
2016-12-21,-6.197934782608696,#400155101521302
2017-03-21,-5.770222222222222,#400155101521302
2017-06-21,-5.799560439560439,#400155101521302
2017-09-21,-7.12641304347826,#400155101521302
2017-12-21,-6.0148913043478265,#400155101521302
2018-03-21,-5.742555555555556,#400155101521302
2018-06-21,-6.066813186813187,#400155101521302
2018-09-21,-6.938260869565218,#400155101521302
2018-12-21,-5.837391304347825,#400155101521302
2019-03-21,-5.492666666666667,#400155101521302
2019-06-21,-5.616153846153846,#400155101521302
2019-09-21,-6.144021739130435,#400155101521302
2019-12-21,-5.672717391304348,#400155101521302
2020-03-21,-5.34032967032967,#400155101521302
2020-06-21,-6.087362637362638,#400155101521302
2020-09-21,-6.222173913043479,#400155101521302
2020-12-21,-5.496956521739131,#400155101521302
2000-03-21,-8.19,#400400100531501
2000-06-21,,#400400100531501
2000-09-21,,#400400100531501
2000-12-21,,#400400100531501
2001-03-21,-8.42,#400400100531501
2001-06-21,,#400400100531501
2001-09-21,,#400400100531501
2001-12-21,,#400400100531501
2002-03-21,-8.46,#400400100531501
2002-06-21,,#400400100531501
2002-09-21,,#400400100531501
2002-12-21,,#400400100531501
2003-03-21,-8.52,#400400100531501
2003-06-21,,#400400100531501
2003-09-21,,#400400100531501
2003-12-21,,#400400100531501
2004-03-21,,#400400100531501
2004-06-21,-8.63,#400400100531501
2004-09-21,,#400400100531501
2004-12-21,,#400400100531501
2005-03-21,,#400400100531501
