date,level,site
2000-03-21,-13.44,#330458103251001
2000-06-21,,#330458103251001
2000-09-21,-13.43,#330458103251001
2000-12-21,,#330458103251001
2001-03-21,-13.44,#330458103251001
2001-06-21,,#330458103251001
2001-09-21,-13.46,#330458103251001
2001-12-21,,#330458103251001
2002-03-21,-13.48,#330458103251001
2002-06-21,,#330458103251001
2002-09-21,-13.47,#330458103251001
2002-12-21,,#330458103251001
2003-03-21,-13.47,#330458103251001
2003-06-21,,#330458103251001
2003-09-21,-13.47,#330458103251001
2003-12-21,,#330458103251001
2004-03-21,-13.47,#330458103251001
2004-06-21,,#330458103251001
2004-09-21,,#330458103251001
2004-12-21,,#330458103251001
2005-03-21,-13.29,#330458103251001
2005-06-21,,#330458103251001
2005-09-21,,#330458103251001
2005-12-21,-13.285,#330458103251001
2006-03-21,-13.28,#330458103251001
2006-06-21,,#330458103251001
2006-09-21,-13.44,#330458103251001
2006-12-21,,#330458103251001
2007-03-21,-13.35,#330458103251001
2007-06-21,,#330458103251001
2007-09-21,-13.19,#330458103251001
2007-12-21,-13.19,#330458103251001
2008-03-21,,#330458103251001
2008-06-21,-13.17,#330458103251001
2008-09-21,-13.165,#330458103251001
2008-12-21,-13.19,#330458103251001
2009-03-21,,#330458103251001
2009-06-21,,#330458103251001
2009-09-21,-13.16,#330458103251001
2009-12-21,-13.4,#330458103251001
2010-03-21,-13.18,#330458103251001
2010-06-21,,#330458103251001
2010-09-21,-13.175,#330458103251001
2010-12-21,-13.2,#330458103251001
2011-03-21,-13.18,#330458103251001
2011-06-21,,#330458103251001
2011-09-21,-13.23,#330458103251001
2011-12-21,-13.275,#330458103251001
2012-03-21,,#330458103251001
2012-06-21,,#330458103251001
2012-09-21,-13.26,#330458103251001
2012-12-21,-13.26,#330458103251001
2013-03-21,,#330458103251001
2013-06-21,,#330458103251001
2013-09-21,-13.29,#330458103251001
2013-12-21,-12.94,#330458103251001
2014-03-21,,#330458103251001
2014-06-21,,#330458103251001
2014-09-21,-13.32,#330458103251001
2014-12-21,,#330458103251001
2015-03-21,,#330458103251001
2015-06-21,,#330458103251001
2015-09-21,-13.65,#330458103251001
2015-12-21,-13.27,#330458103251001
2016-03-21,,#330458103251001
2016-06-21,,#330458103251001
2016-09-21,-13.16,#330458103251001
2016-12-21,,#330458103251001
2017-03-21,-13.31,#330458103251001
2017-06-21,,#330458103251001
2017-09-21,-13.32,#330458103251001
2017-12-21,,#330458103251001
2018-03-21,-13.51,#330458103251001
2018-06-21,,#330458103251001
2018-09-21,,#330458103251001
2018-12-21,-13.35,#330458103251001
2019-03-21,,#330458103251001
2019-06-21,,#330458103251001
2019-09-21,,#330458103251001
2019-12-21,,#330458103251001
2020-03-21,-13.39,#330458103251001
2020-06-21,,#330458103251001
2020-09-21,,#330458103251001
2020-12-21,-13.42,#330458103251001
2000-03-21,-18.354065934065936,#332115103403301
2000-06-21,-18.33098901098901,#332115103403301
2000-09-21,-18.325416666666666,#332115103403301
2000-12-21,-18.315978260869564,#332115103403301
2001-03-21,-18.29864406779661,#332115103403301
2001-06-21,-18.28333333333333,#332115103403301
2001-09-21,-18.28,#332115103403301
2001-12-21,-18.279891304347824,#332115103403301
2002-03-21,-18.27711111111111,#332115103403301
2002-06-21,-18.27307692307692,#332115103403301
2002-09-21,-18.268260869565218,#332115103403301
2002-12-21,-18.265326086956524,#332115103403301
2003-03-21,-18.26677777777778,#332115103403301
2003-06-21,-18.26065934065934,#332115103403301
2003-09-21,-18.269130434782607,#332115103403301
2003-12-21,-18.27358695652174,#332115103403301
2004-03-21,-18.271648351648352,#332115103403301
2004-06-21,-18.26901098901099,#332115103403301
2004-09-21,-18.27967391304348,#332115103403301
2004-12-21,-18.27467391304348,#332115103403301
2005-03-21,-18.261,#332115103403301
2005-06-21,-18.25736263736264,#332115103403301
2005-09-21,-18.25663043478261,#332115103403301
2005-12-21,-18.25684782608696,#332115103403301
2006-03-21,-18.250555555555557,#332115103403301
2006-06-21,-18.25065934065934,#332115103403301
2006-09-21,-18.248586956521734,#332115103403301
2006-12-21,-18.249782608695654,#332115103403301
2007-03-21,-18.245666666666665,#332115103403301
2007-06-21,-18.23901098901099,#332115103403301
2007-09-21,-18.238260869565217,#332115103403301
2007-12-21,-18.242391304347827,#332115103403301
2008-03-21,-18.24868131868132,#332115103403301
2008-06-21,-18.247582417582414,#332115103403301
2008-09-21,-18.25826086956522,#332115103403301
2008-12-21,-18.26282608695652,#332115103403301
2009-03-21,-18.260555555555555,#332115103403301
2009-06-21,-18.25802197802198,#332115103403301
2009-09-21,-18.268478260869564,#332115103403301
2009-12-21,,#332115103403301
2010-03-21,,#332115103403301
2010-06-21,,#332115103403301
2010-09-21,,#332115103403301
2010-12-21,,#332115103403301
2011-03-21,,#332115103403301
2011-06-21,,#332115103403301
2011-09-21,,#332115103403301
